DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-03-02,15:26:00,133.86,133.86,133.8,133.82,493
2020-03-02,15:27:00,133.83,133.87,133.83,133.85,302
2020-03-02,15:28:00,133.85,133.86,133.82,133.85,132
2020-03-02,15:29:00,133.86,133.86,133.82,133.84,237
2020-03-02,15:30:00,133.83,133.85,133.82,133.84,187
2020-03-02,15:31:00,133.85,133.85,133.75,133.75,414
2020-03-02,15:32:00,133.77,133.82,133.77,133.81,191
2020-03-02,15:33:00,133.81,133.81,133.75,133.76,209
2020-03-02,15:34:00,133.76,133.76,133.72,133.76,402
2020-03-02,15:35:00,133.74,133.78,133.74,133.78,146
2020-03-02,15:36:00,133.78,133.78,133.78,133.78,0
2020-03-02,15:37:00,133.78,133.78,133.78,133.78,0
2020-03-02,15:38:00,133.78,133.78,133.78,133.78,0
2020-03-02,15:39:00,133.78,133.78,133.78,133.78,0
2020-03-02,15:40:00,133.78,133.78,133.78,133.78,0
2020-03-02,15:41:00,133.78,133.78,133.78,133.78,0
2020-03-02,15:42:00,133.78,133.78,133.78,133.78,0
2020-03-02,15:43:00,133.78,133.78,133.78,133.78,0
2020-03-02,15:44:00,133.78,133.78,133.78,133.78,0
2020-03-02,15:45:00,133.82,133.82,133.82,133.82,3685
